epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3621,2.58872,5.51856,4.89461,2.34656,0.25599,0.08333,0.06936,0.02055,0.15533,0.08333,0.05939,0.02495,2.46953,4.84807,6.97825,2.49609,0.00028,0.00028,0.00028
2,123.874,2.52646,4.62278,3.60444,2.18284,0.09382,0.33333,0.10007,0.03063,0.10568,0.20833,0.06791,0.01378,2.68484,5.8144,4.05345,2.82117,0.000574258,0.000574258,0.000574258
3,179.34,2.37396,4.44683,3.41222,2.14083,0.04082,0.08333,0.01706,0.00721,0.04082,0.08333,0.01185,0.00533,2.5312,4.27134,3.38233,2.6311,0.000862576,0.000862576,0.000862576
4,236.266,2.34639,4.38348,3.07647,2.12705,0.33232,0.16667,0.16563,0.0583,0.33232,0.16667,0.17139,0.06547,2.40779,5.35283,10.1506,3.31118,0.00114495,0.00114495,0.00114495
5,291.623,2.47209,4.5464,3.14837,2.21662,0.02952,0.25,0.01595,0.00473,0.03126,0.20833,0.01281,0.00371,2.65853,4.44416,6.22185,3.52331,0.00142139,0.00142139,0.00142139
6,350.526,2.54013,4.54115,3.27118,2.17746,0.01948,0.29167,0.01543,0.00374,0.01948,0.29167,0.0226,0.0065,2.81707,7.01798,44.4278,3.9726,0.00169189,0.00169189,0.00169189
7,415.085,2.75312,4.76227,3.35261,2.32916,0.01086,0.08333,0.0026,0.00089,0.0019,0.04167,0.00028,5e-05,3.4702,60.6232,12.7743,9.52173,0.0018812,0.0018812,0.0018812
8,479.401,2.66019,4.78023,3.25744,2.26559,0.4,0.08333,0.09779,0.0505,0.4,0.08333,0.12252,0.02574,2.65025,7.27922,32.671,4.3269,0.0018614,0.0018614,0.0018614
9,537.037,2.60791,4.51701,3.16405,2.21959,0.0004,0.04167,0.00037,0.00015,0.00095,0.04167,0.00044,0.00016,3.5466,18.3328,9.17638,7.01952,0.0018416,0.0018416,0.0018416
10,597.335,2.45778,4.44773,3.1185,2.19538,0.01563,0.08333,0.00411,0.00113,0.0306,0.08333,0.00449,0.0007,3.76763,8.9991,5.65677,4.80173,0.0018218,0.0018218,0.0018218
11,656.218,2.54715,4.42375,3.09181,2.22061,0.71692,0.04167,0.04892,0.01819,0.71692,0.04167,0.04624,0.02303,3.85608,11.4955,4.1366,4.65083,0.001802,0.001802,0.001802
12,716.48,2.59967,4.4557,3.08462,2.26239,0.0974,0.08333,0.02008,0.00539,0.02464,0.08333,0.00631,0.00151,3.48941,11.6283,4.73745,4.41023,0.0017822,0.0017822,0.0017822
13,775.97,2.5635,4.44304,2.97558,2.25651,0.00619,0.04167,0.00275,0.00094,0.00221,0.04167,0.00128,0.00045,3.29263,16.8929,5.87624,3.42105,0.0017624,0.0017624,0.0017624
