epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8316,1.46193,2.64128,1.88812,0.37662,0.5,0.39995,0.1885,1.5555,5.06729,2.18866,0.00038,0.00038,0.00038
2,133.424,1.48085,2.00213,1.89,0.23975,0.4,0.32544,0.06526,2.87225,3.7644,3.66315,0.000772278,0.000772278,0.000772278
3,191.48,1.5119,1.902,1.88357,0.46269,0.4,0.39965,0.09541,2.59886,3.60154,3.58133,0.00115664,0.00115664,0.00115664
4,256.891,1.63631,1.87268,1.99019,0.12714,0.5,0.10874,0.03916,2.36771,24.2487,4.14791,0.00153307,0.00153307,0.00153307
5,333.057,1.75737,1.86451,2.04503,0.00454,0.7,0.00378,0.00137,3.36736,1503.89,15.9734,0.00190159,0.00190159,0.00190159
6,408.625,1.71029,1.90169,2.03642,0.02378,0.6,0.04403,0.01192,2.81188,80.24,7.04152,0.001901,0.001901,0.001901
7,480.406,1.75528,1.81053,2.02124,0.03016,0.6,0.03353,0.00755,2.7346,6.57711,4.29642,0.0018812,0.0018812,0.0018812
8,553.486,1.72031,1.76269,2.05208,0.13976,0.2,0.16853,0.04051,3.44882,3.16556,4.67237,0.0018614,0.0018614,0.0018614
9,627.342,1.719,1.70096,2.01419,0.13242,0.3,0.05766,0.01502,3.55017,5.16301,3.88058,0.0018416,0.0018416,0.0018416
10,706.823,1.73757,1.73393,2.01277,0.0407,0.2,0.03917,0.01032,3.11545,3.96778,4.27029,0.0018218,0.0018218,0.0018218
11,782.314,1.69797,1.65091,1.97534,0.11864,0.4,0.09371,0.02549,3.1707,3.37247,4.07123,0.001802,0.001802,0.001802
12,857.513,1.71774,1.63376,1.99618,0.23393,0.5,0.17689,0.04185,2.91862,1.94984,3.81563,0.0017822,0.0017822,0.0017822
13,932.723,1.7249,1.63826,2.00922,0.35327,0.5,0.32744,0.099,2.58015,1.99307,3.22448,0.0017624,0.0017624,0.0017624
14,1008.16,1.65534,1.63793,1.94611,0.29916,0.3,0.2945,0.12861,2.21951,1.86728,2.86411,0.0017426,0.0017426,0.0017426
15,1083.74,1.59085,1.51352,1.92829,0.5698,0.6,0.62436,0.20213,2.01872,2.23048,2.77684,0.0017228,0.0017228,0.0017228
16,1158.88,1.57538,1.46787,1.87218,0.22299,0.5,0.23903,0.08705,2.17756,2.34783,3.0526,0.001703,0.001703,0.001703
17,1235.83,1.60712,1.48646,1.8948,0.63053,0.5,0.71716,0.18615,1.87803,1.65083,2.67223,0.0016832,0.0016832,0.0016832
18,1312.45,1.60933,1.42989,1.91355,0.33247,0.6,0.29915,0.09565,2.37005,1.79856,3.60529,0.0016634,0.0016634,0.0016634
19,1388.87,1.60067,1.44123,1.90696,0.75218,0.4,0.57337,0.25185,1.82738,1.63856,2.64491,0.0016436,0.0016436,0.0016436
20,1464.85,1.60426,1.40741,1.92972,0.7049,0.5,0.65872,0.27079,1.88596,1.74033,2.58628,0.0016238,0.0016238,0.0016238
21,1539.58,1.57641,1.45006,1.87012,0.71724,0.4,0.53477,0.20953,1.9702,1.70477,2.45436,0.001604,0.001604,0.001604
22,1612.65,1.49572,1.34901,1.78877,0.8092,0.6,0.6844,0.36517,1.7731,1.37616,2.39582,0.0015842,0.0015842,0.0015842
23,1686.65,1.5561,1.39839,1.84795,0.54495,0.6,0.67035,0.31818,1.70333,1.46259,2.2191,0.0015644,0.0015644,0.0015644
24,1760.69,1.54023,1.37338,1.83732,0.8839,0.76411,0.907,0.40297,1.67755,1.30269,2.2095,0.0015446,0.0015446,0.0015446
25,1834.91,1.43115,1.30523,1.78635,0.62174,1,0.81881,0.35398,1.70056,1.46784,2.18026,0.0015248,0.0015248,0.0015248
26,1908.73,1.49548,1.30369,1.83539,0.78616,0.7,0.76601,0.38033,1.78526,1.4069,2.30655,0.001505,0.001505,0.001505
27,1980.1,1.47836,1.29944,1.78908,0.87241,0.8,0.86611,0.52274,1.46171,1.21219,2.08641,0.0014852,0.0014852,0.0014852
28,2056.33,1.43725,1.27504,1.80463,0.80014,0.9,0.8796,0.47537,1.4967,1.17257,2.14664,0.0014654,0.0014654,0.0014654
